Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Community & Integrated Care Division - Hume EACH,121-135 Corio Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Goulburn Valley Health,State Government,Inner Regional Australia,-36.378821,145.404146," $1,216,367 "
Australian Multicultural Community Services,"Suite 111, 44-56 Hampstead Road",,MAIDSTONE,VIC,3012,Western Metro,Home Care,,,,Australian Multicultural Community Services Inc,Community Based,Major Cities of Australia,-37.778731,144.875602," $618,940 "
Community Aged Care Program - General,98 Charles Street,,SEDDON,VIC,3011,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.8063073,144.8902144," $2,064,663 "
Enrich Living Pty Ltd - VIC Southern Region 1,356 Boundary Road,,DINGLEY VILLAGE,VIC,3172,Southern Metro,Home Care,,,,Community Care Services Victoria Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.94141474,145.1624137," $154,428 "
Enrich Living Pty Ltd - VIC Southern Region 2,356 Boundary Road,,DINGLEY VILLAGE,VIC,3172,Southern Metro,Home Care,,,,Community Care Services Victoria Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.94141474,145.1624137," $213,896 "
Enrich Living Pty Ltd - VIC,356 Boundary Road,,DINGLEY VILLAGE,VIC,3172,Southern Metro,Home Care,,,,Community Care Services Victoria Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.94141474,145.1624137," $2,301,236 "
Community Interlink,121-135 Corio Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Goulburn Valley Health,State Government,Inner Regional Australia,-36.378821,145.404146," $307,801 "
Aged & Community Care - Wangaratta Rural City Council,"Level 2, 62 Ovens Street",,WANGARATTA,VIC,3677,Hume,Home Care,,,,Wangaratta Rural City Council,Local Government,Inner Regional Australia,-36.35489258,146.323683," $56,365 "
Aged & Community Care - Wangaratta Rural City Council,Level 2,62 Ovens Street,WANGARATTA,VIC,3677,Hume,Home Care,,,,Wangaratta Rural City Council,Local Government,Inner Regional Australia,-36.35489258,146.323683," $69,173 "
Aged & Community Care - Wangaratta City Council,"Level 2, 62 Ovens Street",,WANGARATTA,VIC,3677,Hume,Home Care,,,,Wangaratta Rural City Council,Local Government,Inner Regional Australia,-36.35489258,146.323683," $2,662,321 "
Aged & Community Care - Wangaratta Rural City Council,"Level 2, 62 Ovens Street",,WANGARATTA,VIC,3677,Hume,Home Care,,,,Wangaratta Rural City Council,Local Government,Inner Regional Australia,-36.35489258,146.323683," $76,515 "
Aged & Community Care - Wangaratta Rural City Council,Level 2,62 Ovens Street,WANGARATTA,VIC,3677,Hume,Home Care,,,,Wangaratta Rural City Council,Local Government,Inner Regional Australia,-36.35489258,146.323683," $47,859 "
Aged & Community Care - Wangaratta Rural City Council,Level 2,62 Ovens Street,WANGARATTA,VIC,3677,Hume,Home Care,,,,Wangaratta Rural City Council,Local Government,Inner Regional Australia,-36.35489258,146.323683," $92,250 "
Community Support Options Community Aged Care Packages,55 Buckingham Avenue,,SPRINGVALE,VIC,3171,Southern Metro,Home Care,,,,Monash Health,State Government,Major Cities of Australia,-37.952596,145.151085," $469,027 "
Community Support Options General Community Aged Care Packages,"4th Floor, 229 Thomas Street",DANDENONG VIC 3175,DANDENONG,VIC,3175,Southern Metro,Home Care,,,,Monash Health,State Government,Major Cities of Australia,-37.987147,145.212349," $639,901 "
Community Support Options Housing Linked Community Aged Care Packages,55 Buckingham Avenue,,SPRINGVALE,VIC,3171,Southern Metro,Home Care,,,,Monash Health,State Government,Major Cities of Australia,-37.952596,145.151085," $197,746 "
Cooinda Village Care Packages,1-35 Kilfeera Road,,BENALLA,VIC,3672,Hume,Home Care,,,,Cooinda Village Inc,Community Based,Inner Regional Australia,-36.55644462,145.9976916," $497,497 "
Dhauward - Wurrung ATSI CACPS,18 Wellington Road,,PORTLAND,VIC,3305,Barwon-South Western,Home Care,,,,Dhauwurd-Wurrung Elderly and Community Health Service Inc.,Community Based,Outer Regional Australia,-38.35771009,141.613101," $376,325 "
MiCare Home Care services Southern Metro,1102 Frankston-Dandenong Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Home Care,,,,MiCare Ltd,Community Based,Major Cities of Australia,-38.0889427,145.1816201," $590,973 "
MiCare Home Care services South East,736 Mt Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Home Care,,,,MiCare Ltd,Community Based,Major Cities of Australia,-37.8083999,145.3270589," $1,923,368 "
MiCare Home Care services Gippsland 2,63 Church Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,MiCare Ltd,Community Based,Inner Regional Australia,-38.23496,146.399284," $857,306 "
EACH Barwon South Western,137 Shannon Avenue,,MANIFOLD HEIGHTS,VIC,3218,Barwon-South Western,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-38.1378434,144.3367236," $393,024 "
EACH Ltd CACP Service,46 Warrandyte Road,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,EACH,State Government,Major Cities of Australia,-37.809,145.230779," $465,152 "
EACHD Barwon South Western,137 Shannon Avenue,,MANIFOLD HEIGHTS,VIC,3218,Barwon-South Western,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-38.1378434,144.3367236," $102,549 "
Eastern Metro Care Packages Project,94 Springs Road,,CLAYTON VIC,VIC,3169,Southern Metro,Home Care,,,,Fronditha Care,Community Based,Major Cities of Australia,-37.936301,145.108106," $1,259,125 "
Baptcare - Eastern HCP 4,Suite 2,35 Seymour Street,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.81605408,145.2237876," $2,720,459 "
Eastern Metropolitan Region,Walmsley Friendship Village,500 Greeves Drive,KILSYTH,VIC,3137,Eastern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8056764,145.3098247," $2,820,748 "
MiCare Home Care Services Eastern Region,722 Mount Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Home Care,,,,MiCare Ltd,Community Based,Major Cities of Australia,-37.807706,145.325998," $1,219,475 "
"Elders, HACC & Disability Service EACH",37-53 Dalmahoy Street,,BAIRNSDALE,VIC,3875,Gippsland,Home Care,,,,Gippsland & East Gippsland Aboriginal Co-operative Ltd,Community Based,Outer Regional Australia,-37.82951078,147.62799," $7,913 "
St Vincent's Care Services Northern Melbourne Home Care,43 Diamond Street,,ELTHAM,VIC,3095,Northern Metro,Home Care,,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-37.71218754,145.145762," $378,414 "
Fairview Community Care,30 Sargeant Street,,WARRAGUL,VIC,3820,Gippsland,Home Care,,,,Fairview Village Limited,Community Based,Inner Regional Australia,-38.17473195,145.9288754," $148,819 "
Filipino CACP Program,93 Cowper Street,,FOOTSCRAY,VIC,3011,Western Metro,Home Care,,,,Filipino Community Council of Victoria Inc,Community Based,Major Cities of Australia,-37.804272,144.903311," $272,106 "
Filipino CACP Program - Western Metro Region,93 Cowper Street,,FOOTSCRAY,VIC,3011,Western Metro,Home Care,,,,Filipino Community Council of Victoria Inc,Community Based,Major Cities of Australia,-37.804272,144.903311," $2,513 "
Catholic Homes - Flexible Options,"Suite 4, Global Innovations Bldg",University Drive,MOUNT HELEN,VIC,3350,Grampians,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-37.6241997,143.883811," $659,466 "
Catholic Homes - Flexible Options,Building A 355 Stud Road,,WANTIRNA SOUTH,VIC,3152,Eastern Metro,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.8710103,145.2337086," $140,171 "
Catholic Homes - Flexible Options - EACH - Northern Metropolitan,Building A 355 Stud Road,,WANTIRNA SOUTH,VIC,3152,Eastern Metro,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.8710103,145.2337086," $109,249 "
Catholic Homes - Flexible Options - EACH - Western Metropolitan,"Suite 4, Global Innovations Bldg",University Drive,MOUNT HELEN,VIC,3350,Grampians,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-37.6241997,143.883811," $122,423 "
Flexihealth Community Aged Care Program (ATSI),1 Back Beach Road,,SAN REMO,VIC,3925,Gippsland,Home Care,,,,Bass Coast Health - Duplicate of NAPS 1542,State Government,Inner Regional Australia,-38.526943,145.371543," $15,429 "
Flexihealth Community Aged Care Program (Rural),1 Back Beach Road,,SAN REMO,VIC,3925,Gippsland,Home Care,,,,Bass Coast Health - Duplicate of NAPS 1542,State Government,Inner Regional Australia,-38.526943,145.371543," $766,896 "
Flexihealth Community Aged Care Program HLCPS,1 Back Beach Road,,SAN REMO,VIC,3925,Gippsland,Home Care,,,,Bass Coast Health - Duplicate of NAPS 1542,State Government,Inner Regional Australia,-38.526943,145.371543," $68,335 "
Gippsland & East Gippsland Aboriginal Co-operative Community Aged Care Service,37-53 Dalmahoy Street,,BAIRNSDALE,VIC,3875,Gippsland,Home Care,,,,Gippsland & East Gippsland Aboriginal Co-operative Ltd,Community Based,Outer Regional Australia,-37.82951078,147.62799," $372,615 "
Gippsland CACPs,49-53 Hazelwood Road,,TRARALGON,VIC,3844,Gippsland,Home Care,,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-38.210865,146.521642," $727,817 "
Gippsland Lakes Community Health,18-26 Jemmeson Street,,LAKES ENTRANCE,VIC,3909,Gippsland,Home Care,,,,Gippsland Lakes Community Health,State Government,Outer Regional Australia,-37.87432459,147.998209," $4,701,554 "
Baptcare - Gippsland HCP 4,Shop 2,43 Commercial Road,KORUMBURRA,VIC,3950,Gippsland,Home Care,,,,Baptcare Ltd,Religious,Inner Regional Australia,-38.432645,145.824121," $1,876,467 "
Gladswood,"Suite 1-2, 77-79 Ashley Street",,BRAYBROOK,VIC,3019,Western Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.7906728,144.8621279," $960,937 "
Greater Shepparton City Council Home Care Packages,90 Welsford Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Greater Shepparton City Council,Local Government,Inner Regional Australia,-36.377759,145.398255, n.a.
Goulburn Valley Community Options,121-135 Corio Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Goulburn Valley Health,State Government,Inner Regional Australia,-36.378821,145.404146," $718,097 "
Goulburn Valley Community Options,121-135 Corio Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Goulburn Valley Health,State Government,Inner Regional Australia,-36.378821,145.404146," $3,071,365 "
Grampians CACPs,1 McLeod Street,,MINYIP,VIC,3392,Grampians,Home Care,,,,Anglican Aged Care Services Group,Religious,Outer Regional Australia,-36.45797181,142.5947669," $477,210 "
Grange Residential Aged Care Service - ATSI CACPS,20 Foster Street,,HAMILTON,VIC,3300,Barwon-South Western,Home Care,,,,Western District Health Service,State Government,Inner Regional Australia,-37.737544,142.030183," $21,050 "
Greater Geelong City Council,103 Corio Street,,GEELONG,VIC,3220,Barwon-South Western,Home Care,,,,Greater Geelong City Council,Local Government,Major Cities of Australia,-38.14719449,144.3650437," $7,711,656 "
Greek Care CACP Service,7 Union Street,,BRUNSWICK,VIC,3056,Northern Metro,Home Care,,,,Australian Greek Welfare Society Ltd,Community Based,Major Cities of Australia,-37.774272,144.959745," $860,072 "
Hesse Rural Health Service (HRHS),8 Gosney Street,,WINCHELSEA,VIC,3241,Barwon-South Western,Home Care,,,,Hesse Rural Health Service,State Government,Inner Regional Australia,-38.243425,143.9849397," $347,980 "
Hume City Council CACP Services,1079 Pascoe Vale Road,,BROADMEADOWS,VIC,3047,Northern Metro,Home Care,,,,Hume City Council,Local Government,Major Cities of Australia,-37.682812,144.918662," $598,992 "
Community Interlink North - Level 2,121-135 Corio Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Goulburn Valley Health,State Government,Inner Regional Australia,-36.378821,145.404146," $289,389 "
Commmunity Interlink North - Level 4,121-135 Corio Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Goulburn Valley Health,State Government,Inner Regional Australia,-36.378821,145.404146," $446,982 "
Hurlingham,54 Heatherhill Road,,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.865573,145.023296," $1,544,161 "
In Good Hands....CACP,Level 1 Suite 3,368 Sydney Road,COBURG,VIC,3058,Northern Metro,Home Care,,,,Merri Health,State Government,Major Cities of Australia,-37.7448387,144.9661881," $3,659,500 "
IPC HEALTH LTD,399 Melton Highway,,TAYLORS LAKES,VIC,3038,Western Metro,Home Care,,,,IPC Health Ltd,Community Based,Major Cities of Australia,-37.7000966,144.7741088," $397,567 "
Jewish Care (Victoria) Inc (EACH) - Eastern Metro,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $81,202 "
Jewish Care (Victoria) Inc (EACH-D) - Eastern Metropolitan,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $40,719 "
Karingal Community Living,Karindinia House,1 Riverview Terrace,BELMONT,VIC,3216,Barwon-South Western,Home Care,,,,Karingal Inc,Charitable,Major Cities of Australia,-38.1653012,144.347189," $282,515 "
Karingal Community Living - EACH,1 Riverview Terrace,,BELMONT,VIC,3216,Barwon-South Western,Home Care,,,,Karingal Inc,Charitable,Major Cities of Australia,-38.165302,144.347188," $51,947 "
Kesher (Jewish Community Services) Care Packages Project,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $1,355,613 "
Kesher EACH,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $80,268 "
Kesher EACH Program - Southern Metro,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $982,358 "
Kesher EACHD,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $288,597 "
KinCare CACP - Eastern Metropolitan,"Suite 26, 270 Ferntree Gully Rd",,NOTTING HILL,VIC,3168,Eastern Metro,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90002475,145.1301906," $492,869 "
Kincare CACP - Northern Metropolitan,"Suite 26, 270 Ferntree Gully Rd",,NOTTING HILL,VIC,3168,Eastern Metro,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90002475,145.1301906," $351,219 "
KinCare CACP - Southern Metropolitan,"Suite 26, 270 Ferntree Gully Rd",,NOTTING HILL,VIC,3168,Eastern Metro,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90002475,145.1301906," $247,414 "
KinCare CACP - Western Metropolitan,"Suite 26, 270 Ferntree Gully Rd",,NOTTING HILL,VIC,3168,Eastern Metro,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90002475,145.1301906," $211,635 "
KinCare EACH - Eastern Metropolitan,"Suite 26, 270 Ferntree Gully Rd",,NOTTING HILL,VIC,3168,Eastern Metro,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90002475,145.1301906," $136,575 "
Kyabram CACPs,"Shop 6 & 7, Finborough Crt",69-75 McLennan,MOOROOPNA,VIC,3629,Hume,Home Care,,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-36.39482663,145.3602938," $159,311 "
Latrobe Home Care Packages Gippsland Level 2,81-87 Buckley Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-38.2358326,146.4000861," $8,621,849 "
Latrobe Home Care Packages Gippsland Koorie Level 2,81-87 Buckley Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-38.2358326,146.4000861," $96,959 "
Latrobe Home Care Packages Gippsland Level 3,81-87 Buckley Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-38.2358326,146.4000861," $674,174 "
Latrobe Home Care Packages Gippsland Level 4,81 -87 Buckley Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-38.2358326,146.4000861," $1,941,452 "
Lifestyle Aged Care Services (Eastern Metropolitan),229 Canterbury Road,,CANTERBURY,VIC,3126,Eastern Metro,Home Care,,,,Lifestyle Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.823849,145.081046," $124,238 "
Lifestyle Aged Care Services (Southern Metropolitan),"Unit 32, 320-328 Reserve Road",,CHELTENHAM,VIC,3192,Southern Metro,Home Care,,,,Lifestyle Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.962096,145.037797," $19,292 "
integratedliving Loddon Mallee,9 Brown Street,,LONG GULLY,VIC,3550,Loddon-Mallee,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-36.74479609,144.2654493, n.a.
Loddon Mallee Community Programs,240 a Thirteenth Street,,MILDURA,VIC,3500,Loddon-Mallee,Home Care,,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Outer Regional Australia,-34.184104,142.144289," $8,124,379 "
Baptcare - Loddon HCP 4,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.683701,145.069212," $1,088,222 "
Loddon-Mallee Indigenous CACP Service,24 Percy Street,,ECHUCA,VIC,3564,Loddon-Mallee,Home Care,,,,Care Connect Ltd,Charitable,Inner Regional Australia,-36.12513988,144.7497381," $430,904 "
Lyndoch ATSI CACPs,Hopkins Road,,WARRNAMBOOL,VIC,3280,Barwon-South Western,Home Care,,,,Lyndoch Living Limited,Community Based,Inner Regional Australia,-38.396761,142.506861," $186,924 "
